OBJECTID,Accident_ID,Date,Time,Street1,Distance,Measurement,Direction,Street2,StatePlaneX,StatePlaneY,Location 1
506,2.01306E+11,6/5/2013,625,BRADFORD ROAD,None,None,None,DAVEE ROAD,11791604,3699604,"(37.478737, -77.436184)"
87,2.00911E+11,11/2/2009,830,BROAD ST,None,None,None,7TH ST,11791498,3722591,"(37.541868, -77.435657)"
561,2.01401E+11,1/10/2014,1700,BROAD ST,None,None,None,17TH ST,11794304,3720511,"(37.536068, -77.426061)"
285,2.01108E+11,8/1/2011,1619,HULL STREET ROAD,20,Feet,E,ELKHARDT ROAD,11770002,3699847,"(37.480049, -77.510616)"
173,2.01007E+11,7/15/2010,2340,JEFFERSON DAVIS HWY,None,None,None,MIMOSA ST,11788580,3706705,"(37.498331, -77.446332)"
577,2.01402E+11,2/27/2014,1704,BROAD ST,75,Feet,W,MULBERRY ST,11782004,3729557,"(37.561287, -77.468137)"
677,2.01501E+11,1/12/2015,658,LEIGH ST,5,Feet,W,11TH ST,11793349,3722926,"(37.54273, -77.42926)"
690,2.01502E+11,2/17/2015,2111,GODDIN ST,20,Feet,S,FULTON ST,11799477,3713282,"(37.516053, -77.408509)"
36,2.00905E+11,5/27/2009,1440,GRACE ST,100,Feet,E,LOMBARDY ST,11785295,3726692,"(37.55332, -77.456894)"
164,2.01006E+11,6/15/2010,1225,MAIN ST,None,None,None,9TH ST,11791323,3721259,"(37.538215, -77.436312)"
637,2.01409E+11,9/9/2014,1956,TERMINAL AVE,200,Feet,E,BELT BLVD,11783801,3700581,"(37.481658, -77.463036)"
204,2.0101E+11,10/5/2010,1530,BROAD ST,None,None,None,LAUREL ST,11787586,3725465,"(37.549881, -77.449038)"
370,2.01202E+11,2/5/2012,1807,HARRISON ST,None,None,None,BROAD ST,11786628,3726167,"(37.551838, -77.452316)"
624,2.01408E+11,8/7/2014,1800,CARY ST,100,Feet,E,MCCLOY ST,11777990,3726736,"(37.55366, -77.48209)"
558,2.01401E+11,1/2/2014,1730,BOULEVARD,520,Feet,S,ROBIN HOOD ROAD,11783197,3734247,"(37.574131, -77.463844)"
472,2.01301E+11,1/23/2013,1620,8TH ST,30,Feet,S,CLAY ST,11792231,3723029,"(37.543048, -77.433111)"
488,2.01304E+11,4/1/2013,1740,BOULEVARD,None,None,None,MYERS ST,11781478,3730190,"(37.563041, -77.469928)"
375,2.01202E+11,2/16/2012,2122,MEADOWBRIDGE ROAD,None,None,None,BURNS ST,11795613,3734645,"(37.574842, -77.420989)"
699,2.01503E+11,3/30/2015,1707,MIDLOTHIAN TPKE,10,Feet,E,32ND ST,11782442,3711451,"(37.511551, -77.46731)"
140,2.01003E+11,3/24/2010,1234,HILL ST,None,None,None,ST PAUL ST,11791239,3727134,"(37.554352, -77.436373)"
125,2.01002E+11,2/20/2010,1900,HUNT AVE,30,Feet,W,BRANCH AVE,11793944,3736728,"(37.580615, -77.426666)"
216,2.01011E+11,11/17/2010,1530,FAIRFIELD AVE,85,Feet,W,BECK DR,0,0,"(21.84882, -111.898764)"
24,2.00904E+11,4/18/2009,1651,WHITCOMB ST,200,Feet,E,CONRAD ST,11797028,3727123,"(37.554141, -77.416405)"
394,2.01204E+11,4/21/2012,203,14TH ST,15,Feet,N,CANAL ST,11792434,3719788,"(37.534141, -77.432538)"
212,2.0101E+11,10/31/2010,1849,GROVE AVE,50,Feet,E,THOMPSON ST,11776540,3728833,"(37.559462, -77.487014)"
530,2.01309E+11,9/27/2013,1555,24TH ST,None,None,None,GRACE ST,11795923,3718800,"(37.531319, -77.420545)"
406,2.01205E+11,5/20/2012,2201,CHAMBERLAYNE AVE,None,None,None,AZALEA AVE,11787025,3744395,"(37.601883, -77.450247)"
57,2.00907E+11,7/30/2009,2139,ST JOHN`S WOOD DR,None,None,None,FINCHLEY PL,11768128,3713055,"(37.516376, -77.5166)"
374,2.01202E+11,2/16/2012,1352,9TH ST,None,None,None,BROAD ST,11792028,3722201,"(37.54078, -77.433844)"
605,2.01405E+11,5/16/2014,2238,STRAWBERRY ST,None,None,None,MONUMENT AVE,11782726,3728069,"(37.557179, -77.465703)"
339,2.01112E+11,12/6/2011,923,3RD ST,None,None,None,LEIGH ST,11791223,3724414,"(37.546883, -77.436534)"
508,2.01306E+11,6/15/2013,2051,STAPLES MILL ROAD,30,Feet,N,BROAD ST,11774615,3736849,"(37.581532, -77.49336)"
342,2.01112E+11,12/11/2011,1550,MEADOW ST,None,None,None,MONUMENT AVE,11783744,3727323,"(37.5551, -77.46222)"
345,2.01112E+11,12/17/2011,1600,GOVERNMENT ROAD,112,Feet,W,DENNY ST,11802296,3714707,"(37.519876, -77.398733)"
595,2.01404E+11,4/28/2014,1126,BROAD ST,None,None,None,BELVIDERE ST,11788092,3725095,"(37.548849, -77.447307)"
611,2.01406E+11,6/30/2014,1501,BELVIDERE ST,None,None,None,MAIN ST,11787621,3723968,"(37.545769, -77.448975)"
499,2.01305E+11,5/12/2013,2130,CARVER ST,250,Feet,E,MECHANICSVILLE TPKE,11797877,3725782,"(37.550431, -77.41353)"
414,2.01206E+11,6/4/2012,45,ST JOHN ST,None,None,None,FEDERAL ST,11791176,3726509,"(37.552637, -77.436615)"
58,2.00908E+11,8/14/2009,2006,T ST,30,Feet,E,MECHANICSVILLE TPKE,11796998,3723912,"(37.545324, -77.416636)"
234,2.01101E+11,1/22/2011,140,MONUMENT AVE,None,None,None,ROBINSON ST,11781856,3728708,"(37.55896, -77.46868)"
136,2.01003E+11,3/20/2010,1927,REDD ST,35,Feet,W,COALTER ST,11796186,3724178,"(37.54608, -77.419426)"
515,2.01307E+11,7/20/2013,1130,KESWICK AVE,10,Feet,W,21ST ST,11790340,3709101,"(37.504857, -77.440173)"
230,2.01012E+11,12/19/2010,2117,BROAD ROCK BLVD,0,Miles,E,SNEAD ROAD,11778421,3698152,"(37.475148, -77.481667)"
641,2.01409E+11,9/24/2014,759,18TH ST,None,None,None,MANSION AVE,11791082,3709130,"(37.504914, -77.437614)"
78,2.0091E+11,10/14/2009,2020,DUVAL ST,None,None,None,1ST ST,11791202,3725484,"(37.549822, -77.436565)"
282,2.01107E+11,7/25/2011,1825,CHAMBERLAYNE AVE,None,None,None,CLAREMONT AVE,11787750,3739439,"(37.588251, -77.447935)"
65,2.00909E+11,9/17/2009,2247,MIDLOTHIAN TPKE,None,None,None,33RD ST,11782020,3711355,"(37.5113, -77.468768)"
2,2.00901E+11,1/15/2009,638,WILLIAMSBURG ROAD,None,None,None,SCOTT ST,11800986,3712789,"(37.514651, -77.403327)"
197,2.01009E+11,9/27/2010,1453,28TH ST,125,Feet,S,NINE MILE ROAD,11800277,3722432,"(37.541155, -77.405385)"
118,2.01001E+11,1/18/2010,1730,100 E HILL ST,None,None,None,None,11792336,3726784,"(37.553357, -77.432603)"
697,2.01503E+11,3/7/2015,2235,WALMSLEY BLVD,250,Feet,E,BANTON ST,11786042,3693704,"(37.462704, -77.455576)"
22,2.00904E+11,4/15/2009,1630,MAIN ST,None,None,None,17TH ST,11793604,3719545,"(37.533437, -77.428512)"
157,2.01005E+11,5/25/2010,2200,MAIN ST,80,Feet,W,17TH ST,11793604,3719545,"(37.533437, -77.428512)"
517,2.01307E+11,7/28/2013,1828,LARCHMONT ST,None,None,None,WYTHEMAR ST,0,0,"(21.84882, -111.898764)"
567,2.01402E+11,2/8/2014,1600,2ND ST,85,Feet,N,FRANKLIN ST,11789718,3722924,"(37.542837, -77.441783)"
162,2.01006E+11,6/2/2010,1532,PHAUP ST,15,Feet,E,ROSETTA ST,11801242,3725513,"(37.549586, -77.401934)"
287,2.01108E+11,8/5/2011,1720,MAIN ST,141,Feet,W,17TH ST,11793604,3719545,"(37.533437, -77.428512)"
228,2.01012E+11,12/16/2010,1110,OAK GLEN ST,20,Feet,S,MIDLOTHIAN TPKE,11768495,3708246,"(37.503158, -77.515507)"
151,2.01004E+11,4/28/2010,2020,LYNHAVEN AVE,None,None,None,COURTLAND ST,11790338,3696415,"(37.470018, -77.44067)"
132,2.01003E+11,3/12/2010,1130,MARSHALL ST,6,Feet,E,5TH ST,11791202,3723288,"(37.543791, -77.43665)"
652,2.0141E+11,10/21/2014,740,W LEIGH ST,20,Feet,E,ST PETER ST,11789722,3725524,"(37.549977, -77.441668)"
143,2.01004E+11,4/8/2010,1638,FAIRFIELD AVE,None,Feet,W,23RD ST,11799983,3724932,"(37.54803, -77.4063)"
646,2.0141E+11,10/4/2014,1334,AMELIA ST,250,Feet,W,LAKE RD,0,0,"(21.84882, -111.898764)"
195,2.01009E+11,9/15/2010,1753,WILLIAMSBURG ROAD,25,Feet,S,MONTEBELLO CIR,11800606,3712797,"(37.514685, -77.404636)"
190,2.01009E+11,9/3/2010,1855,GERMAN SCHOOL ROAD,260,Feet,S,JAHNKE ROAD,11768257,3714171,"(37.519437, -77.516115)"
15,2.00903E+11,3/14/2009,954,1005 N 2ND ST,None,None,None,None,11791951,3725887,"(37.550905, -77.433966)"
308,2.01109E+11,9/27/2011,1953,HULL ST,None,None,None,COMMERCE ROAD,11790035,3715676,"(37.522923, -77.44097)"
401,2.01205E+11,5/10/2012,1600,CARY ST,None,None,None,COLONIAL AVE,11779301,3726165,"(37.552053, -77.477589)"
42,2.00906E+11,6/24/2009,450,MARSHALL ST,None,None,None,CEDAR ST,11795074,3720432,"(37.535827, -77.423408)"
679,2.01501E+11,1/14/2015,1747,BOULEVARD,None,None,None,CARY ST,11779699,3725994,"(37.551571, -77.476222)"
696,2.01503E+11,3/5/2015,1208,17TH ST,None,None,None,BROAD ST,11794304,3720511,"(37.536068, -77.426061)"
319,2.0111E+11,10/14/2011,952,JEFFERSON DAVIS HWY,200,Feet,E,HARWOOD ST,11788403,3708499,"(37.503263, -77.446873)"
108,2.00912E+11,12/14/2009,2135,BROAD ST,None,None,None,STAPLES MILL ROAD,11774615,3736849,"(37.581532, -77.49336)"
501,2.01305E+11,5/21/2013,1709,RIVERSIDE DR,0,Miles,E,STRATFORD ROAD,11761714,3728491,"(37.558948, -77.538171)"
486,2.01303E+11,3/24/2013,809,B700 FRANKLIN ST,None,None,None,None,11787260,3724753,"(37.547935, -77.45019)"
444,2.0121E+11,10/11/2012,1740,NORTH AVE,50,Feet,S,BROOKLAND PARK BLVD,11792224,3733380,"(37.571474, -77.432732)"
674,20141280194,12/18/2014,1105,BROAD ST,None,None,None,ALLEN AVE,11784812,3727498,"(37.555548, -77.458529)"
467,2.01301E+11,1/1/2013,2255,14TH ST,None,None,None,MAIN ST,11792601,3720305,"(37.535556, -77.431942)"
707,2.01506E+11,6/14/2015,2120,HARWOOD ST,15,Feet,W,ROSECREST AVE,11792424,3708851,"(37.504106, -77.432998)"
318,2.0111E+11,10/13/2011,2228,MOSBY ST,15,Feet,None,LITTLEPAGE ST,11796923,3723506,"(37.544211, -77.41691)"
255,2.01103E+11,3/31/2011,2155,MAIN ST,None,None,None,FOUSHEE ST,11788963,3722992,"(37.543047, -77.444384)"
98,2.00911E+11,11/23/2009,1736,MAIN ST,None,None,None,MEADOW ST,11782713,3725168,"(37.549213, -77.465857)"
613,2.01407E+11,7/18/2014,1020,RIVER ROAD,100,Feet,W,KANAWHA ROAD,11764702,3731860,"(37.568116, -77.527744)"
588,2.01403E+11,3/28/2014,2130,ROSENEATH ROAD,None,None,None,CLAY ST,11780040,3732369,"(37.569068, -77.474807)"
505,2.01306E+11,6/3/2013,1150,MAIN ST,None,None,None,18TH ST,11793858,3719355,"(37.532908, -77.427644)"
395,2.01204E+11,4/27/2012,1624,MAIN ST,30,Feet,None,17TH ST,11793604,3719545,"(37.533437, -77.428512)"
681,2.01501E+11,1/24/2015,1555,TAZEWELL ST,30,Feet,N,CHAMBERLAYNE AVE,11789412,3729492,"(37.560884, -77.442584)"
487,2.01303E+11,3/26/2013,607,COFER ROAD,200,Feet,W,JEFFERSON DAVIS HWY,11788734,3705167,"(37.494103, -77.44586)"
636,2.01409E+11,9/9/2014,1537,BROAD ST,None,None,None,HARRISON ST,11786628,3726167,"(37.551838, -77.452316)"
393,2.01204E+11,4/19/2012,1041,MEADOW ST,25,Feet,S,MAIN ST,11782713,3725168,"(37.549213, -77.465857)"
371,2.01202E+11,2/14/2012,1205,CHERRY ST,None,None,None,CUMBERLAND ST,11786509,3723008,"(37.543166, -77.452847)"
494,2.01304E+11,4/26/2013,1714,HARWOOD ST,25,Feet,W,LYNHAVEN AVE,11789505,3708598,"(37.503501, -77.44307)"
139,2.01003E+11,3/23/2010,1920,TERMINAL AVE,None,None,None,COLUMBIA ST,11789458,3701168,"(37.483098, -77.443519)"
423,2.01207E+11,7/24/2012,1113,HULL ST,None,None,None,BROAD ROCK ROAD,11783582,3710397,"(37.508622, -77.46342)"
183,2.01008E+11,8/18/2010,830,6324 POWHITE PKWY,None,None,None,None,11768726,3718682,"(37.531812, -77.514335)"
457,2.01211E+11,11/18/2012,135,3RD ST,None,None,None,GRACE ST,11790210,3723048,"(37.543163, -77.440081)"
203,2.0101E+11,10/3/2010,1957,DOVE ST,None,None,None,NORTH AVE,11792116,3730433,"(37.563384, -77.433219)"
